icrates_id,deposit_id,location_id,fabric_id,standard_form_id,standard_form_publication_uncertain,standard_form_icrates,deposit_lower_date,deposit_upper_date,fabric,fabric_h1,standard_form,fabric,standard_typo_chronological_lower_date,standard_typo_chronological_upper_date
191,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
192,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
193,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
194,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
195,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
196,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
197,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
198,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
199,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
200,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
201,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
202,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
203,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
204,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
205,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
206,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
207,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
208,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
209,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
210,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
211,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
212,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
213,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
214,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
215,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
216,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
217,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
218,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
219,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
220,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
221,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
222,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
223,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
224,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
225,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
226,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
227,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
228,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
229,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
230,1705.0,40.0,51.0,1214.0,0,,,,ESC,esc,M-SN39a,ESC,-75.0,100.0
231,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
232,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
233,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
234,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
235,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
236,1705.0,40.0,51.0,1218.0,0,,,,ESC,esc,M-SN39d,ESC,25.0,150.0
237,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
238,1705.0,40.0,51.0,1217.0,0,,,,ESC,esc,M-SN39c,ESC,25.0,50.0
239,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
240,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
241,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
242,1705.0,40.0,51.0,1217.0,0,,,,ESC,esc,M-SN39c,ESC,25.0,50.0
243,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
244,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
245,1705.0,40.0,51.0,1214.0,0,,,,ESC,esc,M-SN39a,ESC,-75.0,100.0
246,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
247,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
248,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
249,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
250,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
251,1705.0,40.0,51.0,1214.0,0,,,,ESC,esc,M-SN39a,ESC,-75.0,100.0
252,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
253,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
254,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
255,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
256,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
257,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
258,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
259,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
260,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
261,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
262,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
263,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
264,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
265,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
266,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
267,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
268,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
269,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
270,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
271,1705.0,40.0,51.0,1215.0,0,,,,ESC,esc,M-SN39a-d,ESC,-75.0,75.0
